11.97,-4.40,-3.41,3.24,-5.73,-6.19,591.00,1547.00,1232.00,1040.00,1387.00
12.16,-4.40,-3.72,3.35,-5.76,-6.15,581.00,1542.00,1229.00,1040.00,1382.00
12.01,-4.74,-4.13,3.33,-5.75,-6.17,592.00,1535.00,1219.00,1040.00,1381.00
11.98,-4.32,-4.31,3.34,-5.73,-6.14,592.00,1549.00,1234.00,1020.00,1379.00
11.82,-4.47,-4.18,3.38,-5.71,-6.11,596.00,1543.00,1232.00,1038.00,1380.00
11.88,-4.14,-4.10,3.36,-5.76,-6.07,585.00,1535.00,1232.00,1035.00,1383.00
11.91,-4.15,-4.17,3.30,-5.77,-6.04,579.00,1533.00,1226.00,1037.00,1381.00
11.75,-4.24,-3.97,3.29,-5.82,-6.02,592.00,1534.00,1226.00,1040.00,1383.00


11.46,-3.78,-4.43,3.16,-6.11,-4.90,595.00,1554.00,1249.00,1043.00,1391.00
11.38,-3.74,-4.64,3.12,-6.13,-4.92,591.00,1555.00,1249.00,1053.00,1389.00
11.41,-3.96,-4.79,3.12,-6.06,-4.93,594.00,1554.00,1248.00,1040.00,1382.00
11.48,-4.27,-4.62,3.22,-6.00,-4.96,590.00,1555.00,1251.00,1040.00,1387.00
11.76,-4.34,-4.70,3.25,-5.94,-4.97,592.00,1555.00,1247.00,1043.00,1389.00
11.48,-4.32,-4.58,3.20,-5.97,-5.00,595.00,1555.00,1252.00,1042.00,1381.00
11.41,-4.30,-4.75,3.14,-6.00,-4.98,592.00,1551.00,1246.00,1056.00,1386.00
11.69,-4.96,-5.01,3.09,-6.02,-5.03,597.00,1552.00,1250.00,1049.00,1386.00
12.15,-5.30,-5.05,3.12,-5.98,-5.05,593.00,1552.00,1247.00,1044.00,1390.00
12.34,-5.10,-5.04,3.13,-5.96,-5.06,588.00,1553.00,1252.00,1045.00,1383.00


2.57,1.84,0.69,4.81,-3.30,-8.43,597.00,1586.00,1280.00,1051.00,1392.00
2.42,1.84,0.78,4.87,-3.30,-8.36,602.00,1584.00,1279.00,1047.00,1391.00
2.43,1.82,0.91,4.92,-3.35,-8.30,590.00,1586.00,1266.00,1054.00,1392.00
2.39,1.96,1.16,4.94,-3.42,-8.23,592.00,1584.00,1265.00,1040.00,1392.00
2.48,2.07,1.31,4.95,-3.51,-8.17,592.00,1590.00,1275.00,1046.00,1392.00
2.59,2.06,1.46,4.96,-3.57,-8.14,591.00,1590.00,1275.00,1045.00,1387.00
2.69,1.98,1.36,4.99,-3.63,-8.09,595.00,1584.00,1275.00,1051.00,1391.00
2.64,2.01,1.36,5.01,-3.67,-8.06,599.00,1591.00,1274.00,1049.00,1383.00
2.71,2.05,1.37,5.01,-3.70,-8.00,592.00,1590.00,1273.00,1051.00,1391.00
2.67,2.28,1.51,5.01,-3.70,-7.97,593.00,1587.00,1276.00,1053.00,1387.00


5.01,1.70,0.86,4.72,-0.29,-10.83,577.00,1585.00,1285.00,1045.00,1389.00
4.73,1.41,0.74,4.72,-0.31,-10.80,592.00,1583.00,1278.00,1048.00,1392.00
4.26,1.15,0.94,4.72,-0.38,-10.74,592.00,1584.00,1280.00,1049.00,1390.00
4.09,0.98,0.90,4.70,-0.45,-10.68,592.00,1585.00,1288.00,1046.00,1390.00
4.15,0.72,1.06,4.71,-0.60,-10.58,596.00,1584.00,1291.00,1049.00,1391.00
4.27,0.46,1.24,4.66,-0.71,-10.57,594.00,1582.00,1290.00,1050.00,1392.00
4.57,0.63,1.12,4.51,-0.84,-10.65,591.00,1575.00,1290.00,1051.00,1390.00
4.70,0.43,0.98,4.55,-0.84,-10.70,595.00,1583.00,1287.00,1046.00,1389.00
4.66,0.29,1.24,4.72,-0.81,-10.53,598.00,1584.00,1289.00,1050.00,1389.00
4.07,-0.17,1.61,4.76,-0.92,-10.42,585.00,1575.00,1287.00,1047.00,1390.00


13.48,-9.17,-8.24,4.32,-3.66,-8.47,593.00,1552.00,1266.00,1037.00,1383.00
13.76,-9.26,-8.45,4.37,-3.61,-8.50,590.00,1553.00,1264.00,1037.00,1377.00
13.88,-9.32,-8.27,4.42,-3.57,-8.54,591.00,1562.00,1267.00,1037.00,1379.00
13.81,-9.08,-8.30,4.43,-3.54,-8.57,592.00,1561.00,1245.00,1038.00,1379.00
13.33,-8.99,-8.04,4.46,-3.55,-8.60,589.00,1555.00,1264.00,1038.00,1382.00
13.13,-8.72,-8.07,4.45,-3.56,-8.59,592.00,1552.00,1264.00,1037.00,1385.00
12.66,-8.58,-7.60,4.52,-3.63,-8.57,590.00,1559.00,1264.00,1033.00,1385.00
12.52,-8.28,-7.88,4.48,-3.67,-8.51,588.00,1553.00,1264.00,1038.00,1377.00
12.49,-8.23,-7.57,4.49,-3.74,-8.44,595.00,1552.00,1267.00,1033.00,1382.00
12.66,-8.06,-7.64,4.47,-3.78,-8.38,592.00,1556.00,1262.00,1034.00,1378.00


14.09,-3.85,-4.05,3.63,-6.11,-6.96,592.00,1551.00,1266.00,1037.00,1390.00
13.00,-3.03,-3.40,3.74,-5.98,-7.09,585.00,1552.00,1259.00,1037.00,1386.00
12.75,-3.11,-3.39,3.84,-5.89,-6.95,592.00,1550.00,1269.00,1033.00,1388.00
11.61,-4.02,-2.45,4.19,-5.95,-6.81,592.00,1547.00,1270.00,1037.00,1387.00
13.64,-3.93,-3.00,4.41,-5.98,-6.92,587.00,1547.00,1264.00,1031.00,1385.00
10.68,-3.42,-4.64,4.47,-6.05,-6.62,594.00,1542.00,1271.00,1040.00,1389.00
12.53,-3.41,-5.21,4.47,-6.02,-6.62,594.00,1546.00,1273.00,1032.00,1386.00
11.81,-2.63,-5.45,4.40,-6.04,-6.56,591.00,1553.00,1269.00,1035.00,1381.00
11.67,-3.00,-4.34,4.59,-6.08,-6.52,586.00,1551.00,1266.00,1031.00,1391.00
11.42,-3.01,-4.69,4.77,-6.14,-6.48,592.00,1550.00,1266.00,1040.00,1389.00


3.09,1.09,1.55,4.70,-3.17,-8.24,590.00,1585.00,1292.00,1040.00,1390.00
2.84,0.95,1.44,4.56,-3.22,-8.21,594.00,1589.00,1295.00,1042.00,1391.00
2.67,0.26,1.38,4.55,-3.31,-8.26,592.00,1584.00,1297.00,1040.00,1389.00
2.49,-0.06,1.07,4.54,-3.38,-8.31,592.00,1584.00,1296.00,1042.00,1391.00
2.10,-0.12,1.03,4.55,-3.45,-8.27,592.00,1584.00,1296.00,1037.00,1388.00
2.11,-0.52,1.29,4.61,-3.57,-8.30,589.00,1588.00,1297.00,1038.00,1392.00
2.05,-0.14,1.43,4.74,-3.63,-8.30,599.00,1585.00,1303.00,1038.00,1385.00
2.09,0.45,1.74,4.82,-3.69,-8.24,593.00,1586.00,1302.00,1039.00,1387.00
1.97,0.52,1.99,4.97,-3.77,-8.22,593.00,1584.00,1300.00,1040.00,1391.00
1.81,1.02,2.07,5.06,-3.84,-8.16,592.00,1584.00,1307.00,1040.00,1387.00


12.39,-4.17,-7.28,5.98,-1.17,-10.10,592.00,1582.00,1297.00,1038.00,1389.00
12.54,-3.83,-7.87,5.81,-1.15,-10.12,589.00,1582.00,1296.00,1044.00,1387.00
11.77,-3.95,-8.52,5.67,-1.01,-10.14,586.00,1584.00,1295.00,1043.00,1389.00
11.91,-4.45,-8.09,5.71,-0.89,-10.27,590.00,1579.00,1286.00,1045.00,1389.00
12.10,-4.79,-8.09,5.72,-0.63,-10.37,590.00,1584.00,1295.00,1040.00,1389.00
12.33,-4.71,-7.59,5.79,-0.45,-10.48,589.00,1581.00,1290.00,1043.00,1393.00
11.77,-4.71,-7.36,5.78,-0.26,-10.60,591.00,1582.00,1296.00,1047.00,1391.00
11.71,-4.85,-6.47,5.81,-0.07,-10.72,592.00,1583.00,1298.00,1043.00,1389.00
12.00,-4.17,-6.24,5.84,0.05,-10.81,592.00,1584.00,1296.00,1043.00,1385.00
12.25,-4.03,-5.54,5.76,0.16,-10.90,592.00,1583.00,1295.00,1039.00,1387.00


13.08,-5.84,-6.58,4.85,-3.52,-8.43,577.00,1555.00,1274.00,1036.00,1381.00
13.32,-5.92,-6.61,4.82,-3.56,-8.37,575.00,1547.00,1271.00,1039.00,1383.00
13.60,-5.72,-6.68,4.78,-3.57,-8.35,575.00,1556.00,1282.00,1040.00,1370.00
13.72,-5.83,-6.54,4.78,-3.59,-8.32,578.00,1552.00,1269.00,1040.00,1383.00
13.77,-5.58,-6.45,4.72,-3.61,-8.27,578.00,1553.00,1269.00,1039.00,1383.00
13.82,-5.91,-6.85,4.63,-3.60,-8.25,579.00,1549.00,1271.00,1040.00,1383.00
14.24,-6.10,-7.13,4.62,-3.57,-8.23,583.00,1553.00,1277.00,1013.00,1377.00
14.62,-6.49,-7.21,4.60,-3.51,-8.25,579.00,1555.00,1275.00,1033.00,1378.00
15.04,-6.82,-7.13,4.60,-3.45,-8.32,576.00,1554.00,1266.00,1035.00,1375.00
14.60,-6.90,-7.28,4.60,-3.38,-8.36,583.00,1557.00,1270.00,1037.00,1382.00


11.15,-2.34,-4.64,2.49,-6.30,-5.69,592.00,1564.00,1290.00,1038.00,1392.00
11.29,-2.75,-4.77,2.43,-6.30,-5.72,592.00,1565.00,1297.00,1030.00,1390.00
11.01,-3.17,-4.37,2.53,-6.33,-5.74,587.00,1555.00,1287.00,1023.00,1383.00
11.33,-3.28,-4.79,2.52,-6.33,-5.79,589.00,1567.00,1296.00,1035.00,1383.00
11.33,-3.46,-5.04,2.48,-6.28,-5.79,586.00,1562.00,1287.00,1033.00,1387.00
11.44,-3.68,-4.95,2.52,-6.23,-5.80,584.00,1555.00,1290.00,1037.00,1379.00
11.70,-3.99,-5.02,2.56,-6.18,-5.82,595.00,1564.00,1295.00,1023.00,1385.00
11.58,-4.10,-5.09,2.64,-6.15,-5.83,583.00,1556.00,1286.00,1020.00,1388.00
11.73,-4.35,-5.59,2.64,-6.08,-5.89,587.00,1559.00,1284.00,1027.00,1390.00
11.48,-4.50,-5.33,2.61,-6.03,-5.88,592.00,1563.00,1287.00,1036.00,1381.00


3.92,4.71,1.84,4.82,-1.70,-10.23,591.00,1584.00,1313.00,1035.00,1385.00
3.75,4.59,1.79,4.66,-1.82,-10.22,592.00,1585.00,1314.00,1040.00,1388.00
